,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout,Keltner_Channel,Chande_MO
138,IGL,993761.0,421.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
139,INDHOTEL,2129433.0,314.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 321,,,,,CMO > 25 and < 30 Strong Buy Signal => 26.80419506716229
140,INDIACEM,1898220.0,220.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
141,INDIANB,1506797.0,294.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,Yes,,,,,,,
142,INDIGO,849872.0,2037.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,Yes,,,,,,Yes,,
143,INDUSINDBK,2363861.0,1215.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,,
144,INDUSTOWER,1219288.0,186.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,CMO less than -25 Sell Signal 
145,INFIBEAM,5033895.0,16.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
146,INFY,9866513.0,1475.0,,,,,,No,Yes,No,,DownTrend,,,,,,Yes,,,,Yes,,,CMO less than -25 Sell Signal 
147,INOXWIND,149690.0,107.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
148,IOB,53321677.0,31.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,,,
149,IOC,14446182.0,79.0,,,,,,No,No,No,No,DownTrend,,Yes,,,Yes,,,,,,Yes,,CMO greater than 25 Buy Signal 
150,IOLCP,189516.0,366.0,,,,,,No,No,Yes,Yes,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 399,,,,,
151,IRB,8945214.0,308.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,Yes,,,,,,,,
152,IRCON,6747547.0,60.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,
153,IRCTC,860406.0,637.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
