,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone
209,NBCC,4253653.0,39.0,No,No,No,Yes,,,,,,,,
210,NCC,12274527.0,93.0,No,No,No,,Yes,252,Yes,,63,,,
211,NETWORK18,663385.0,65.0,No,No,No,Yes,,,,,,,,
212,NFL,9124737.0,75.0,No,No,No,Yes,,,,Yes,,,,
213,NHPC,7071932.0,39.0,No,No,No,,,,,,,Yes,,
214,NIACL,4048409.0,135.0,No,No,Yes,Yes,,,,Yes,,,,
215,NLCINDIA,1819142.0,84.0,No,No,No,Yes,,,,,,,,
216,NTPC,18882210.0,169.0,No,No,No,Yes,,,Yes,,,,,
217,NYKAA,2160979.0,154.0,No,No,No,Yes,,,,,,,,
218,OIL,752446.0,210.0,No,No,No,Yes,,,,Yes,,,,
219,ONGC,16319506.0,146.0,No,No,No,Yes,,,Yes,,,,,
220,ORIENTCEM,4018251.0,139.0,No,No,No,,Yes,126,Yes,,63,,,
221,PAISALO,308595.0,77.0,No,No,No,Yes,,,,,,,,
222,PARADEEP,2053196.0,59.0,,No,No,Yes,,,,Yes,,,,
223,PAYTM,1525798.0,541.0,No,No,No,,Yes,,,Yes,21,,,Yes
224,PCBL,580541.0,128.0,No,No,No,Yes,,,,,,,,
225,PETRONET,3053422.0,220.0,No,No,No,,Yes,63,Yes,,63,,,
226,PFC,11379828.0,156.0,No,No,No,,Yes,,Yes,,,,,
227,PNB,82145583.0,56.0,No,No,No,Yes,,,,Yes,,,,
228,PNBHOUSING,2912399.0,562.0,No,Yes,Yes,Yes,,,,Yes,,,,
229,PNCINFRA,691525.0,304.0,No,No,No,Yes,,,,Yes,,,,
230,POLICYBZR,2355725.0,464.0,No,No,Yes,Yes,,,Yes,,,,,
231,POONAWALLA,2261722.0,292.0,No,No,No,Yes,,,,Yes,,,,
232,POWERGRID,15953148.0,208.0,No,No,No,,,,,Yes,,,,
233,PRAJIND,567895.0,368.0,No,No,No,Yes,,,,Yes,,,,
234,PRSMJOHNSN,1343038.0,109.0,No,No,No,Yes,,,Yes,,,,,
235,PVR,418715.0,1676.0,Yes,No,No,Yes,,,,,,Yes,,
236,RAILTEL,1633969.0,128.0,No,No,No,Yes,,,,Yes,,,,
237,RAIN,2188726.0,177.0,No,No,No,Yes,,,Yes,,21,,,
238,RAYMOND,384769.0,1479.0,Yes,Yes,Yes,Yes,,,,,,,,
239,RBLBANK,21905705.0,186.0,No,No,Yes,Yes,,,Yes,,63,,,
240,RCF,11996951.0,133.0,No,No,No,Yes,,,,Yes,,,,
241,RECLTD,9762508.0,123.0,No,No,No,,Yes,,,Yes,,,,
242,REDINGTON,2509275.0,188.0,No,No,No,Yes,,,,Yes,,,,
243,RELIANCE,6291619.0,2514.0,No,Yes,No,,,,,Yes,,Yes,,
