,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone,SellingClimax,PickVolumeBreakout
312,VBL,782019,1306,Yes,Yes,Yes,,,,,,,,,,,,,
313,VEDL,10676367,319,No,No,No,,,,,,Yes,,63,,,,,
314,VIJAYA,283127,414,No,No,No,,,,,,,,,,,,,
315,VOLTAS,542997,808,No,No,No,,,,,,,,,,,,,
316,WELCORP,425148,233,No,No,No,,,,,,,Yes,,,,,,
317,WELENT,1268435,169,No,No,No,,,,,,Yes,,,,,,,
318,WELSPUNIND,412078,76,No,No,No,,,,,,,,,,,,,
319,WIPRO,2996435,397,No,No,No,,,,,,,Yes,,,,,,
320,WOCKPHARMA,2079993,229,No,No,No,,,,,,Yes,,,,,,,Before wait for breakout of resistance => 236
321,YESBANK,339684334,22,No,No,No,,,,,,,Yes,63,,,,,
322,ZEEL,5315656,240,No,No,No,,,,,,,Yes,,,,,,
323,ZENSARTECH,533067,215,No,No,No,,,,,,,,,,,,,
324,ZOMATO,49691262,58,No,No,No,,,,,,,Yes,,,,,,Before wait for breakout of resistance => 65
