,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,Keltner_Channel
434,MAHABANK,54872789.0,32.0,,,,,,
435,MAHINDCIE,526304.0,337.0,,,,,,
436,MAHLIFE,49342.0,365.0,,,,,,
437,MAHLOG,38071.0,503.0,,,,,,
438,MAHSCOOTER,3053.0,4689.0,,,,,,
439,MAHSEAMLES,493635.0,334.0,,,,,,
440,MAITHANALL,119500.0,1092.0,,,,,,
441,MANALIPETC,311549.0,82.0,,,,,,
442,MANAPPURAM,12926609.0,122.0,,,,,,
443,MANINFRA,242156.0,75.0,,,,,,
444,MANYAVAR,63878.0,1333.0,,,,,,
445,MAPMYINDIA,102467.0,1055.0,,,,,,
446,MARICO,490250.0,510.0,,,,,,
447,MARKSANS,960820.0,59.0,,,,,,
448,MARUTI,493182.0,8382.0,,,,,,
449,MASFIN,67967.0,829.0,,,,,,
450,MASTEK,19240.0,1709.0,,,,,,
451,MATRIMONY,5253.0,590.0,,,,,,
452,MAXHEALTH,396310.0,446.0,,,,,,
453,MAYURUNIQ,32898.0,423.0,,,,,,
454,MAZDOCK,9015403.0,834.0,,,,,,
455,MCDOWELL-N,750409.0,865.0,,,,,,
456,MCX,1092179.0,1478.0,,,,,,False
457,MEDPLUS,39246.0,619.0,,,,,,
458,METROBRAND,142072.0,873.0,,,,,,
459,METROPOLIS,445207.0,1366.0,,,,,,
460,MFL,54749.0,1191.0,,,,,,
461,MFSL,1518009.0,709.0,,,,,,
462,MGL,273550.0,856.0,,,,,,
463,MHRIL,115020.0,268.0,,,,,,
464,MIDHANI,375426.0,222.0,,,,,,
465,MINDACORP,161746.0,204.0,,,,,,
466,MMFL,33914.0,829.0,,,,,,
467,MMTC,1585397.0,38.0,,,,,,
468,MOIL,408118.0,170.0,,,,,,
469,MOL,467548.0,111.0,,,,,,
470,MOLDTKPAC,87043.0,989.0,,,,,,
471,MOREPENLAB,7025182.0,35.0,,,,,,
472,MOTHERSON,7237906.0,76.0,,,,,,
473,MOTILALOFS,396584.0,711.0,,,,,,
474,MPHASIS,390417.0,2004.0,,,,,,
475,MRF,4793.0,88876.0,,,,,,
476,MRPL,1920520.0,57.0,,,,,,
477,MSTCLTD,213303.0,302.0,,,,,,
478,MSUMI,5929775.0,57.0,,,,,,
479,MTARTECH,72221.0,1600.0,,,,,,
480,MUTHOOTFIN,302072.0,1087.0,,,,,,
481,NAM-INDIA,520891.0,253.0,,,,,,
482,NATCOPHARM,181198.0,563.0,,,,,,
483,NATIONALUM,12995078.0,83.0,,,,,,
484,NAUKRI,209479.0,3917.0,,,,,,
485,NAVA,1261569.0,256.0,,,,,,
486,NAVINFLUOR,90401.0,4034.0,,,,,,
487,NAVNETEDUL,104212.0,121.0,,,,,,
488,NAZARA,354003.0,611.0,,,,,,
489,NBCC,6950062.0,41.0,,,,,,
490,NCC,8298667.0,90.0,,,,,,
491,NEOGEN,37578.0,1249.0,,,,,,
492,NESCO,46811.0,618.0,,,,,,
493,NESTLEIND,31393.0,19727.0,,,,,,False
494,NETWORK18,1051165.0,66.0,,,,,,
495,NEULANDLAB,55185.0,1714.0,,,,,,
496,NEWGEN,207729.0,375.0,,,,,,
497,NFL,7669297.0,72.0,,,,,,
498,NH,64812.0,749.0,,,,,,
499,NHPC,3761723.0,39.0,,,,,,
500,NIACL,4482624.0,131.0,,,,,,
501,NLCINDIA,1713800.0,86.0,,,,,,
502,NOCIL,636667.0,243.0,,,,,,
503,NRBBEARING,399528.0,158.0,,,,,,
504,NTPC,9624595.0,167.0,,,,,,
505,NUVOCO,126049.0,370.0,,,,,,
506,NYKAA,3641115.0,153.0,,,,,,
507,OBEROIRLTY,242670.0,877.0,,,,,,
508,OFSS,92083.0,2999.0,,,,,,
509,OIL,682769.0,211.0,,,,,,
510,OLECTRA,134568.0,515.0,,,,,,
511,OMAXE,43647.0,72.0,,,,,,
512,ONGC,14990122.0,149.0,,,,,,
513,OPTIEMUS,118464.0,308.0,,,,,,
514,ORIENTCEM,991630.0,131.0,,,,,,
515,ORIENTELEC,173896.0,262.0,,,,,,
516,ORISSAMINE,1532.0,2941.0,,,,,,
517,PAGEIND,16769.0,42166.0,,,,,,
518,PAISALO,856992.0,78.0,,,,,,
519,PANAMAPET,69750.0,353.0,,,,,,
520,PARADEEP,1553132.0,59.0,,,,,,
521,PARAS,67549.0,593.0,,,,,,
522,PATANJALI,168155.0,1221.0,,,,,,
523,PAYTM,1210847.0,535.0,,,,,,
524,PCBL,437658.0,131.0,,,,,,
525,PDSL,33344.0,350.0,,,,,,
526,PERSISTENT,394674.0,4048.0,,,,,,False
527,PETRONET,1173254.0,216.0,,,,,,
528,PFC,30687824.0,156.0,,,,,,
529,PFIZER,4820.0,4393.0,,,,,,
530,PGHH,11326.0,13933.0,,,,,,
531,PGHL,7684.0,4071.0,,,,,,
532,PHOENIXLTD,103653.0,1431.0,,,,,True,
533,PIDILITIND,321659.0,2537.0,,,,,,
534,PIIND,274339.0,3413.0,,,,,,False
535,PNB,78519939.0,57.0,,,,,,
536,PNBHOUSING,3761580.0,573.0,,,,,,False
537,PNCINFRA,1833851.0,307.0,,,,,,
538,POKARNA,21960.0,380.0,,,,,,
539,POLICYBZR,973467.0,453.0,,,,,,
540,POLYCAB,132625.0,2590.0,,,,,,False
